"","Company","URL","HQ","VC","CNCI","Description","Rating","",""
"","Firetide","www.firetide.com","Los Gatos, CA","Menlo","","leading provider of mesh networks that enable concurrent video voice and data for municipal, public safety and enterprise applications.  Meshnodes and access points provide a reliable high performance wireless infrastructure and access solution for video surveillance, internet access, public safety networks and temporary networks","1","",""
"","Forescout","www.forescout.com","Cupertino,CA","Meritech","","ForeScout's clientless network access control (NAC) solutions enable customers to gain complete control over network security without disrupting end-user productivity.","2","",""
"","Fortify Software","www.fortify.com","San Mateo, CA","KPCB","SCM","Fortify Software products protect companies from today’s greatest security risk: the software applications that run their businesses.
Combining deep application security expertise with extensive software development experience, Fortify Software has defined the market with award-winning products that assure software security from development to production. Today, Fortify Software fortifies the software for the most demanding customer deployments, including the world’s largest, most varied code bases.","4","",""
"","Fortinet","www.fortinet.com","Sunnyvale, CA","Meritech","CI","Fortinet is the pioneer and world's leading provider of Unified Threat Management (UTM) security systems that enable secure business communications and deliver the best security, performance and total cost of ownership available. Our award-winning security systems and subscription services protect the networks of more than 20,000 customers worldwide - including telecommunications carriers, service providers and enterprises of all sizes.","2","",""
"","Global Velocity","www.globalvelocity.com","Clayton, MO","","SA","Global Velocity is an innovator in next generation networking security solutions. Our patent pending technologies combine hardware and software to create the industry’s first true wire speed content filter. Global Velocity’s customizable internet-based security solutions provide revenue-generating services to large enterprises, government and internet service providers.","3","",""
"","Green Border","www.greenborder.com","Moutain View, CA","TPG","","","","",""
"","Guidance Software","","","","","","2","",""
"","HBGary","ww.hbgary.com","Sacramento, CA","","","Cyber Response provider.","5","",""
"","Identifid","www.identifid.com","","","","","","",""
"","Infoblox","www.infoblox.com","Santa clara, CA","Sequoia","","Infoblox delivers highly reliable and manageable platforms for core network services like domain name resolution (DNS), IP address assignment (DHCP), IP address management (IPAM) and more. Infoblox solutions, essential for the move from static networks to dynamic infrastructure and applications, are used by over 3,000 organizations worldwide, including over 130 of the Fortune 500. The company is headquartered in Santa Clara, Calif., and operates in more than 30 countries.","","","Expertise in Datamining"
"","Ingrian","www.ingrian.com","Redwood City. CA","Menlo","","data privacy solutions.  Secure sensitive data from internal and external threats and to cost-effectively comply with a range of regulatory mandates for encryption","3","",""
"","Instransa","www.instransa.com","San Jose, CA","Menlo","","IP storage solutions that are ideal for video surveillance applications in physical security, quality assurance and supply chain.","","",""
"","Intelliden","www.intelliden.com","Menlo Park, CA","Matrix","CI","Intelliden is the leading provider of Intelligent Networking software solutions for organizations to control, manage and scale their networks. Intelliden’s solutions allow network-driven organizations to deliver next generation services, ensure compliance and automate critical network change and configuration management functions. 

Intelliden’s innovative and patented solution is the first example of truly “intelligent automation” of networking devices. It is the only solution that knows the real time state of the network and that is the key to ensuring accuracy across increasingly dynamic networks. Intelliden has been proven in global telecom companies, financial services organizations, federal government agencies and other network-driven businesses.","3","",""
"","IronKey","www.ironkey.com","Los Altos, CA","MDV","","IronKey's award winning products and services combine the world's most secure flash drive with the world's most powerful USB management software. The company's USB flash drives bring the power of authentication, encryption, identity management and privacy to businesses and consumers in 23 countries. IronKey's management software and associated services allow enterprises of all sizes, government agencies, the military, and other organizations to take back control of the mobile data that has been leaking out of their organizations due to the uncontrolled proliferation of USB drives. With IronKey, organizations centrally administer, remotely manage, and enforce policies on thousands of devices located anywhere in the world. Founded in 2005","2","",""
"","JackBe","www.jackbe.com","Chevy Chase, MD","Intel, Bluechip Venture, Core capital, Harbert Venture","PI","Enterprise Mashups solve the quintessential information sharing problem: accessing and combining data from disparate internal and external data sources and software systems for timely decision-making.  JackBe delivers trusted mashup software that empowers organizations to create, customize and collaborate through enterprise mashups for faster decisions and better business results.  Our innovative Enterprise Mashup platform, Presto, provides dynamic mashups that leverage internal and external data while meeting the toughest enterprise security and governance requirements.  Presto provides enterprise mashups delivered to the user in 3 clicks versus 3 months","3","",""
"","Kazeon","www.kazeon.com","Mountain View, CA","MEnlo","CI","eDiscovery by using Information Access technology to intelligently search, classify and act on electronically stored information.","2","",""
"","Kestrel Tech","www.kestreltechnology.com","","","supply chain","static code analysis","2","",""
"","Key Pair","www.keypairtech.com","","","","Founded in 2008 and head quartered in Santa Clara, CA, Key Pair Technologies is a VC funded startup in stealth mode to address business needs in the area of multi-form factor and protocol authentication. The company is founded by leading industry experts in security and authentication who have worked for companies like Sun and Microsoft in the past","2","",""
"","Layer 7 Technologies","www.layer7tech.com","Washington, DC","Growthworks VC, BDC VC, Shoreline Ventures,","","Layer 7 Technologies markets a family of XML appliances and software to secure, simplify and scale Web services. Web services are applications that can expose their functionality to other applications over the Internet using standards based XML data formats like SOAP, REST, AJAX, and RSS. Modern service oriented application integration models and Web oriented application delivery models depend on effectively addressing the performance, security, complexity, reliability and availability issues inherent in sharing Web services with other applications. Layer 7 Technologies therefore aims to provide the essential application oriented security and networking infrastructure to enable Service-oriented and Web-oriented architectures (i.e. SOA and Web 2.0) that are central to the next wave of Internet and software innovation","1","",""
"","Lockdown Networks","www.lockdownnetworks.com","Seattle, WA","Intel, Cargill","SA","Lockdown NAC leverages your network, and security, infrastructure to identify every user and device on the network and assesses devices for “health” compliance. Devices and users that don’t meet policy are quarantined for self-remediation, while compliant ones are immediately put into appropriate production networks.","2","",""
"","Loglogic","www.loglogic.com","","Sequoia","","LogLogic is the leader in log and security management solutions. LogLogic solutions provide visibility and control to any IT infrastructure so that organizations can significantly improve security, compliance and network performance. LogLogic’s open log management platform enables customers to collect, search and store massive amounts of IT log data, through one convenient, easy-to-use web-based user console","","",""
"","Loopt","www.loopt.com","Mountain View, CA","Sequoia","","loopt is a revolutionary ‘social mapping’ service that aims to change the way people use mobile phones to keep in touch with their friends. loopt uses GPS (and other location technology) to show you where your friends are by automatically updating maps on your mobile handset. The most frequent text message in the world is ‘Where R U?’ loopt answers that question. The founder of Loopt is Sam Altman.","","",""
"","Lumeta","www.lumeta.com","Somerset, NJ","DFJ, New Venture Partners, RBC, Wachovia","","Lumeta provides large enterprises and government agencies with network assurance solutions that allow them to balance the constant forces of network change, with risk management and compliance imperatives. By measuring the impact of change on risk and availability, Lumeta helps clients successfully keep pace with the demands of business and IT challenges","2","",""
"","Mandiant","www.mandiant.com","Alexandria, VA","","","MANDIANT is Intelligent Information Security. Intelligent Information Security is educated, certified and experienced professionals solving complex security issues in a manner whereby organizations know they are spending their IT budgets wisely. MANDIANT offers elite proactive and responsive security services and education to the financial service sector, legal community, government agencies, and many other domestic and international clients","2","",""
"","Mocana","www.mocana.com","San Fransico, CA","Shata Ventures","SCM, CI","Mocana securely enables Internet-scale applications and services for connected devices. Mocana's industry-leading infrastructure software solutions ensure that wired and wireless devices, networks and services perform and scale with the utmost security – a necessary foundation for a networked society. Customers include Dell, Cisco, Avaya, Nortel Networks, Harris, Honeywell, Symbol, Net.com and Radvision, among others","2","",""
"","mxLogic","www.mxlogic.com","Englewood, CO","Utah Ventures","","MX Logic Inc. is a leading managed security services provider of email and Web security services. MX Logic’s patented technology and commitment to creating the most user-friendly security solutions in the industry make MX Logic the appropriate choice for businesses that want enterprise-grade service and performance without enterprise-level complexity and cost.","2","",""
"","Narus","www.narus.com","Mountain View, CA","American Capital, Mayfield, JPMorgan Partners","SA, CI","Narus is the only software company that provides security, intercept and traffic management solutions within a single, flexible system. With Narus, service providers, governments and large enterprises around the world can immediately detect, analyze, mitigate and target any unwanted, unwarranted or malicious traffic. Narus solutions provide its customers with complete, real-time insight into all of their IP traffic from the network to the applications, enabling customers to take the most appropriate actions quickly","4","",""
"","nCircle","www.ncircle.com","San Francisco, CA","Menlo","","leading provider of agentless security risk and compliance management solutions.  Proactive security solutions to identify, measure, manage and reduce security risk and automate compliance on their networks.","4","",""
"","Nemean Networks","www.nemeannetworks.com","Madison, WI","Badget Angel","SA","The Nemean system is a distributed monitoring platform composed of sensors and monitors that can be scaled to meet the needs of any size enterprise. The sensor component applies Nemean’s patented behavior-aware signatures to live traffic streams to detect malicious activity with unprecedented accuracy. An optional local honeynet provides the ultimate ability to customize and refine attack detection for your enterprise. The database component receives data from local sensors and honeynets and makes all Nemean information available through our unique GUI and web services.","4","",""
"","neokinetics","www.neokinetics.com","Coeur d'Alene, Idaho","","CI","Neokinetics Corporation, an emerging software security company, offers the world's most advanced Behaviormetric identification technologies, to identify and protect your customers and your business from electronic theft and fraud. The company's solutions are easily integrated into existing security environments and provide instantaneous authentication of individuals and events, via a proprietary behavioral scoring platform","3","",""
"","Net Forensics","www.netforensics.com","Edison, NJ","Storm","","netForensics security compliance management solutions help stop the security attacks—increasing in number and sophistication—that threaten organizations today. We pioneered security information management (SIM) in 1999 and today, we deliver the most comprehensive security decision support available, backed by our powerful, patented SIM platform. But netForensics doesn’t just solve security compliance challenges—we provide the proof needed to address the myriad of regulatory and internal governance requirements.","2","",""
"","NetOptics","www.netoptics.com","Santa clara, CA","","SA","Net Optics is the global leader in passive monitoring access for security and network management applications. Our innovative family of hardware products enables companies to access and monitor their network using the latest Intrusion Detection and Prevention Systems, Protocol Analyzers, and Network Probes. Our products enable customers to have 24/7 passive network access and 100% visibility without ever introducing a point of failure","2","",""
"","Network Chemistry","www.paglo.com","Palo Alto, CA","","","Paglo is the world's first search engine for IT. Think ""Google for IT","1","",""
"","NeuralIQ","www.neuraliq.com","Santa Monica, CA","","CI","NeuralIQ was founded in 2004 on the principle that information security is an evolutionary arms race and that the key to victory is adaptability. Marked by a passion for meeting unconventional threats with unconventional technology, NeuralIQ provides network counter-intelligence and operational agility in dynamic, often hostile, computing environments.","2","",""
"","Neuralstar","www.neuralstar.com","","","","","","",""
"","NikSun","www.niksun.com","Monmouth, NJ","","","NIKSUN’s revolutionary approach is similar to having a “Camera on the Network™”, with intelligence built into the camera for real-time motion analysis. By leveraging techniques and methodologies from various fields such as chaos theory, fractal analytics, data warehousing and mining, the company has completely revolutionized how networks, applications and services are secured and managed. NIKSUN's innovative use of seemingly disparate, yet interrelated, scientific disciplines to solve complex security and network problems has introduced high standards of scalability and efficiency within network monitoring and incident response models","2","",""
"","Nubridges","www.nubridges.com","Atlanta, GA","Noro-Moseley","Special Comms","nuBridges is a leading provider of software and services that protect sensitive data at rest or in transit, and perform digital information exchange inside or outside the firewall with end-to-end control, security and visibility. Enterprises trust nuBridges to accelerate business cycles, cut operating costs and reduce risk.","4","",""
"","OpenDNS","www.opendns.com","San Francisoc, CA","Sequoia","","OpenDNS provides free security and infrastructure services that make the Internet safer through integrated Web content filtering, anti-phishing and DNS.","","",""
"","PacketMotion","www.packetmotion.com","San Jose, CA","MDV","SA","PacketMotion is a provider of security and compliance solutions for the Fortune 2000. The company enables IT professionals to see and control transactions on their networks in real time thereby safeguarding businesses against security threats.","3","",""
"","Palamida","www.palamida.com","San Francisco, CA","Hummer Winblad, Walden,","SCM, CI","open source software application security solution","4","",""
"","Palo Alto Networks","www.paloaltonetworks.com","Sunnyvale, CA","Greylock","IPS, IDS","firewall by enabling unprecedented visibility and control of applications and content – by user, not just IP address – at up to 10Gbps with no performance degradation. Based on patent-pending App-ID™ technology, our next generation firewalls accurately identify applications – regardless of port, protocol, evasive tactic or SSL encryption – and scan content to stop threats and prevent data leakage. Enterprises can for the first time embrace Web 2.0 and maintain complete visibility and control, while significantly reducing total cost of ownership through device consolidation","4","",""
"","Pareto Networks","www.paretonetworks.com","","","","","","",""
"","Pilantir","www.palantirtech.com","Palo Alto, CA","","","We currently offer two products: Palantir Government and Palantir Finance. Both are platforms for integrating, visualizing, and analyzing the world’s information. We support many kinds of data including structured, unstructured, relational, temporal, and geospatial. Our products are built for real analysis with a focus on security, scalability, ease of use, and collaboration","5","",""
"","Proofpoint","www.proofpoint.com","Sunnyvale, CA","Meritech, MDV","Special Comms, SA, CI","Proofpoint provides unified email security and data loss prevention solutions for enterprises, universities, government organizations and ISPs to defend against inbound threats such as spam and viruses, prevent leaks of confidential and private information across all protocols, encrypt sensitive emails and analyze messaging infrastructures. Proofpoint’s products are controlled by a single management and policy console and are powered by Proofpoint MLX™ technology, an advanced machine learning system developed by Proofpoint scientists and engineers. Proofpoint provides the most scalable and flexible deployment model including: hardware appliance, virtual appliance, hosted services and software.","4","",""
"","Q1Labs","www.Q1labs.com","Waltham, MA","Menlo","","Improved and repeatable security process that is required in today's world of cmplex network threats and government oversight.  Qdar provides an organization centralized security best practices required to meet specific government regulations.","3","",""
"","Quorumsystems","www.quorumsystems.com","San Diego, CA","KPCB","","Develops multi-mode radio tranceivers for cell phones.","","",""
"","Radiant Logic","http://www.radiantlogic.com/main/","Novato, CA","","","Radiant Logic, Inc. is the leading provider of virtual directory solutions for identity management and enterprise information integration. The RadiantOne™ Identity and Context Virtualization Platform is being utilized by Fortune 500 corporations to provide virtual access to any applications and data sources for authentication, authorization, profile and personalization data, for portals, and services provisioning for application integration projects.","3","",""
"","Redseal","www.redseal.net","San Mateo, CA","Venrock, Sutter Hill, Leapfrog, JAFCO","","RedSeal Systems is the leading vendor of Security Risk Management software. RedSeal integrates data from multiple disjointed security tools, providing you with an in-depth understanding of your overall security posture, actionable steps for risk remediation and metrics to demonstrate progress. By bridging organizational silos and evaluating your entire computing infrastructure, RedSeal enables you to effectively secure your critical business assets, maintain regulatory compliance and gain the greatest benefit from your existing security spending.","4","",""
"","Rohati","www.rohati.com","Sunnyvale, CA","Matrix, Foundation","","","","",""
"","SecureInfo","www.secureinfo.com","San Antonio, TX","Insight Ventures","","SecureInfo specializes in securing computer networks for commercial and military sectors. The company provides training on information security systems and offers software products for security compliance management and vulnerability management. SecureInfo expanded its security software offerings by acquiring Spirian Technologies in 2003. SecureInfo's clients include Veterans Administration, Department of Homeland Security, Department of Defense, General Dynamics, and Northrop Grumman. The company also has an office in Washington, D.C. and a research and development facility in Austin, Texas","2","",""
"","Sensage","www.sensage.com","San Francisoc, CA","Canaan, Sierra, Mitsui, Battery","SA","SenSage, Inc. offers enterprise event data warehouse solutions for security, compliance and systems management. Over 250 customers have deployed SenSage solutions to mitigate risks associated with insider threats, implement log management, meet regulatory compliance requirements, and maintain system availability by providing faster, more granular analysis of privileged user behavior and analyzing anomalies across network, system and application activity. Based in San Francisco, the company markets its solutions directly and through partners, including Cerner, EMC, Hewlett-Packard, Hitachi Data Systems, IBM, Intec Billing Systems, Lockheed Martin and Tokyo Electron.","2","",""
"","Sepaton","www.sepaton.com","Marlboro, MA","Menlo","","data storage and retreival requirements by changing the rules of data protection.  Disk-based solutions that are intelligent, reliable and reduce storage, management and recovery costs.","","",""
"","Sipera","www.siphera.com","Richardson, TX","Sequoia","","Sipera Systems, Inc., the leader in pure security for VoIP, mobile and multimedia communications, enables enterprises and operators to protect end users and network infrastructures from potentially catastrophic attacks, misuse, and abuse of real-time, session-based protocols.","","",""
"","Solera Networks","www.soleranetworks.com","Lindon, UT","","","Solera Networks products enable complete visibility into network traffic. They improve network security, management, and forensics and compliance capabilities by providing a complete historical record of all network activity through network forensics technology. This results in full visibility of all traffic crossing the network—think of it as TiVo® for your network, except that Solera Networks records every channel, every program, all the time.","2","",""
"","Solidcore","www.solidcore.com","Palo Alto, CA","Matrix","SA","Solidcore has been granted a patent for its combined dynamic whitelisting, host intrusion prevention and continuous file integrity monitoring technology that shortens the time, simplifies the effort, and lowers the cost for assuring system integrity and verifying compliance. Solidcore also pioneered automated change policy enforcement technology that prevents unwanted and unauthorized changes from occurring. Solidcore captures critical change detail in real-time, including ""who"" is making changes, ""what"" is being changed, ""when"" change is occurring, and ""how"" the change was made. These capabilities give organizations the assurance that deployed systems are always in a known and verified state.","3","",""
"","SS8 networks","www.ss8.com","San Jose, CA","KPCB","","Develops and sells telcom equipment for carriers that provides voicemail, voice-value add services, signaling and security solutions.","","",""
"","Stoke","www.stoke.com","Santa clara, CA","KPCB","","The Stoke Session Exchange (SSX) is the industry's leading mobile broadband multi-function gateway designed from inception for stateful management of tens-to-hundreds of thousands of secure, reliable, high-quality subscriber sessions over multiple network access types including Femtocells, Wi-Fi, WiMAX, and 3G.","","",""
"","Strongmail Systems","www.strongmail.com","Redwood City. CA","Sequoia","","StrongMail’s online marketing solutions for email and social media enable businesses to reach, engage and influence their target audience using two of the most powerful channels available to marketers today. StrongMail gives email marketers the control and support they need to improve campaign performance, boost deliverability and lower costs, while leveraging the power of social media to extend the reach of existing campaigns to new audiences.","","",""
"","Stroz Frieberg","www.strozllc.com","NYC, NY","","","consulting and technical services firm specializing in computer forensics; cyber-crime response; private investigations; and the preservation, analysis and production of electronic data from single hard drives to complex corporate networks. Typically, we perform this work in the context of civil litigation, criminal and regulatory matters, and internal corporate investigations. Our methodology — which brings technology, law, investigative experience and behavioral science to bear while providing assurance to all parties — has made us the firm of choice in the areas of our expertise. Based upon our expert analysis of electronic data and the results of our investigation, Stroz Friedberg provides objective, comprehensive answers upon which our clients can rely in critical and routine matters, with the assurance that our reports and testimony will withstand the scrutiny of opposing counsel and experts, courts, and the government.","2","",""
"","ThreatMetrix","www.threatmetrix.com","Los Altos, CA","Technology Venture Partners, CM Capital,","","ThreatMetrix profiles the device used in an online transaction to determine whether a website visitor is a fraudster or a returning customer. ThreatMetrix stops fraud at the first attempt wherever and whenever it occurs—new account creation, account takeover, and online purchases.","3","",""
"","Vantos","www.vantos.com","Seattle, WA","OVP, Fluke, Altus","","VANTOS is singularly and passionately focused on being the global leader in the Enterprise Investigation Management market. From minor office misconduct to international financial crimes, companies can spend millions of dollars conducting workplace investigations. Employees misuse expense accounts for personal use. Managers divulge proprietary, confidential information. Accounting fudges end-of-the-quarter numbers. Executives create offshore shell companies to transfer debt off the books. The list of potential fraud and misconduct goes on and on","3","",""
"","Vernier Networks","www.verniernetworks.com","Moutain View, CA","Utah Ventures","SA","Vernier Networks offers the industry's first adaptive security products for wired and wireless networks that enable enterprises to assure business continuity. Vernier's products proactively protect enterprise networks from increasingly complex attacks, actively resolve intrusions, while continually adapting network security policy to protect against future threats.","3","",""
"","Voltage","www.voltage.com","Palo Alto, CA","Menlo","","provider of information encryption","2","",""
"","whrrl","www.pelago.com","Seattle, WA","KPCB","","Mobile community-based search and discovery application.","","",""
